Microsoft (R) COFF/PE Dumper Version 8.00.50727.42
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file c:\windows\system32\ntoskrnl.exe
# version 5.1.2600.3093 xpsp_sp2_gdr.070227-2254

File Type: EXECUTABLE IMAGE

  Section contains the following exports for ntoskrnl.exe

    00000000 characteristics
    45E54711 time date stamp Wed Feb 28 04:10:41 2007
        0.00 version
           1 ordinal base
        1485 number of functions
        1485 number of names

    ordinal hint RVA      name

         60    0 0001C157 CcCanIWrite
         61    1 0009A89B CcCopyRead
         62    2 0001C207 CcCopyWrite
         63    3 0005369E CcDeferWrite
         64    4 00099740 CcFastCopyRead
         65    5 0002D8C8 CcFastCopyWrite
         66    6 0007F73C CcFastMdlReadWait
         67    7 0007F744 CcFastReadNotPossible
         68    8 0007F74C CcFastReadWait
         69    9 00014763 CcFlushCache
         70    A 000170F9 CcGetDirtyPages
         71    B 00053C77 CcGetFileObjectFromBcb
         72    C 00053C3F CcGetFileObjectFromSectionPtrs
         73    D 0001B6A3 CcGetFlushedValidData
         74    E 00053AC0 CcGetLsnForFileObject
         75    F 0001F8AB CcInitializeCacheMap
         76   10 00053A23 CcIsThereDirtyData
         77   11 00093D89 CcMapData
         78   12 00138E97 CcMdlRead
         79   13 0013914A CcMdlReadComplete
         80   14 00053DEA CcMdlWriteAbort
         81   15 0013918F CcMdlWriteComplete
         82   16 000A053A CcPinMappedData
         83   17 000A0715 CcPinRead
         84   18 00053E97 CcPrepareMdlWrite
         85   19 00092865 CcPreparePinWrite
         86   1A 0001BBB4 CcPurgeCacheSection
         87   1B 000119B9 CcRemapBcb
         88   1C 00053791 CcRepinBcb
         89   1D 00029B94 CcScheduleReadAhead
         90   1E 0002A985 CcSetAdditionalCacheAttributes
         91   1F 0009292D CcSetBcbOwnerPointer
         92   20 00053C03 CcSetDirtyPageThreshold
         93   21 00017AE9 CcSetDirtyPinnedData
         94   22 0001B3F5 CcSetFileSizes
         95   23 0009FAF9 CcSetLogHandleForFile
         96   24 0001FBEF CcSetReadAheadGranularity
         97   25 0001FD5E CcUninitializeCacheMap
         98   26 00093E63 CcUnpinData
         99   27 00092970 CcUnpinDataForThread
        100   28 00053930 CcUnpinRepinnedBcb
        101   29 000541C3 CcWaitForCurrentLazyWriterActivity
        102   2A 00106FE7 CcZeroData
        103   2B 001391EB CmRegisterCallback
        104   2C 001392C3 CmUnRegisterCallback
        105   2D 0000C586 DbgBreakPoint
        106   2E 0000C58E DbgBreakPointWithStatus
        107   2F 00032BC8 DbgLoadImageSymbols
        108   30 00029799 DbgPrint
        109   31 000671A5 DbgPrintEx
        110   32 000670B4 DbgPrintReturnControlC
        111   33 00067127 DbgPrompt
        112   34 0006717F DbgQueryDebugFilterState
        113   35 00067194 DbgSetDebugFilterState
          1   36 000042C7 ExAcquireFastMutexUnsafe
        114   37 0000C5D4 ExAcquireResourceExclusiveLite
        115   38 000023A6 ExAcquireResourceSharedLite
          2   39 00092F48 ExAcquireRundownProtection
          3   3A 0016C7A0 ExAcquireRundownProtectionEx
        116   3B 000177D9 ExAcquireSharedStarveExclusive
        117   3C 000119FD ExAcquireSharedWaitForExclusive
        118   3D 0001329A ExAllocateFromPagedLookasideList
        119   3E 00037D8E ExAllocatePool
        120   3F 0006EF1B ExAllocatePoolWithQuota
        121   40 0000FB9C ExAllocatePoolWithQuotaTag
        122   41 00073B44 ExAllocatePoolWithTag
        123   42 00014344 ExAllocatePoolWithTagPriority
        124   43 00024DB3 ExConvertExclusiveToSharedLite
        125   44 000EB78D ExCreateCallback
        126   45 0006EFE5 ExDeleteNPagedLookasideList
        127   46 0006EFE5 ExDeletePagedLookasideList
        128   47 0000FDCE ExDeleteResourceLite
        129   48 0008AA3C ExDesktopObjectType
        130   49 000173B3 ExDisableResourceBoostLite
        131   4A 00104204 ExEnumHandleTable
        132   4B 0008A9C0 ExEventObjectType
        133   4C 0006F03D ExExtendZone
        134   4D 000742AA ExFreePool
        135   4E 00073A07 ExFreePoolWithTag
        136   4F 0001325C ExFreeToPagedLookasideList
        137   50 0006F387 ExGetCurrentProcessorCounts
        138   51 0006F340 ExGetCurrentProcessorCpuUsage
        139   52 0006E35F ExGetExclusiveWaiterCount
        140   53 00025BE8 ExGetPreviousMode
        141   54 0006E37B ExGetSharedWaiterCount
        142   55 000327C1 ExInitializeNPagedLookasideList
        143   56 000DC8E7 ExInitializePagedLookasideList
        144   57 0000FE20 ExInitializeResourceLite
          4   58 0016C767 ExInitializeRundownProtection
        145   59 000338B5 ExInitializeZone
        146   5A 000042FA ExInterlockedAddLargeInteger
          5   5B 0000BE08 ExInterlockedAddLargeStatistic
        147   5C 0000432E ExInterlockedAddUlong
          6   5D 0000BEE8 ExInterlockedCompareExchange64
        148   5E 000043E2 ExInterlockedDecrementLong
        149   5F 000043F2 ExInterlockedExchangeUlong
        150   60 0006F0A7 ExInterlockedExtendZone
          7   61 0000B0B2 ExInterlockedFlushSList
        151   62 000043D2 ExInterlockedIncrementLong
        152   63 00004342 ExInterlockedInsertHeadList
        153   64 00004362 ExInterlockedInsertTailList
        154   65 000043A6 ExInterlockedPopEntryList
          8   66 0000B0D2 ExInterlockedPopEntrySList
        155   67 000043BE ExInterlockedPushEntryList
          9   68 0000B0EE ExInterlockedPushEntrySList
        156   69 00004386 ExInterlockedRemoveHeadList
        157   6A 00035FCE ExIsProcessorFeaturePresent
        158   6B 000118FD ExIsResourceAcquiredExclusiveLite
        159   6C 00015686 ExIsResourceAcquiredSharedLite
        160   6D 00024E2F ExLocalTimeToSystemTime
        161   6E 00025AAE ExNotifyCallback
        162   6F 0006E6B5 ExQueryPoolBlockSize
        163   70 0000D167 ExQueueWorkItem
        164   71 0016F410 ExRaiseAccessViolation
