Microsoft (R) COFF/PE Dumper Version 8.00.50727.42
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file c:\windows\system32\ntkrnlpa.exe

File Type: EXECUTABLE IMAGE

  Section contains the following exports for ntoskrnl.exe

    00000000 characteristics
    45E52DE5 time date stamp Wed Feb 28 02:23:17 2007
        0.00 version
           1 ordinal base
        1485 number of functions
        1485 number of names

    ordinal hint RVA      name

         60    0 000095F8 CcCanIWrite
         61    1 00086506 CcCopyRead
         62    2 00009844 CcCopyWrite
         63    3 00009CFE CcDeferWrite
         64    4 00086A78 CcFastCopyRead
         65    5 00009AE0 CcFastCopyWrite
         66    6 0007843C CcFastMdlReadWait
         67    7 00078444 CcFastReadNotPossible
         68    8 0007844C CcFastReadWait
         69    9 0000C4EC CcFlushCache
         70    A 0000CF3C CcGetDirtyPages
         71    B 0000D62E CcGetFileObjectFromBcb
         72    C 0000D5FE CcGetFileObjectFromSectionPtrs
         73    D 0000A4D8 CcGetFlushedValidData
         74    E 0000D1AC CcGetLsnForFileObject
         75    F 0000D794 CcInitializeCacheMap
         76   10 0000D114 CcIsThereDirtyData
         77   11 0008760C CcMapData
         78   12 00087B6E CcMdlRead
         79   13 00087E12 CcMdlReadComplete
         80   14 0000E6CC CcMdlWriteAbort
         81   15 00087E52 CcMdlWriteComplete
         82   16 0008776A CcPinMappedData
         83   17 000878C0 CcPinRead
         84   18 0000E774 CcPrepareMdlWrite
         85   19 00087A0A CcPreparePinWrite
         86   1A 0000DF0A CcPurgeCacheSection
         87   1B 0000A624 CcRemapBcb
         88   1C 0000A66C CcRepinBcb
         89   1D 0000ABCA CcScheduleReadAhead
         90   1E 0000CDF4 CcSetAdditionalCacheAttributes
         91   1F 000874D6 CcSetBcbOwnerPointer
         92   20 0000D5CA CcSetDirtyPageThreshold
         93   21 0000A236 CcSetDirtyPinnedData
         94   22 0000E2E8 CcSetFileSizes
         95   23 00086EF6 CcSetLogHandleForFile
         96   24 00009DAA CcSetReadAheadGranularity
         97   25 0000DCF0 CcUninitializeCacheMap
         98   26 00087484 CcUnpinData
         99   27 00087518 CcUnpinDataForThread
        100   28 0000B9FC CcUnpinRepinnedBcb
